DATASET = co2020 case challenge part

NAME = vehicles over tools over vehicle days over distance with 300 requests over 20 days


DAY = 1
 NUMBER_OF_VEHICLES = 8
1	R	0	43	0
2	R	0	63	0
3	R	0	187	0
4	R	0	7	0
5	R	0	204	0
6	R	0	215	0
7	R	0	238	0
8	R	0	296	0

DAY = 2
 NUMBER_OF_VEHICLES = 16
1	R	0	61	0
2	R	0	79	0
3	R	0	84	0
4	R	0	121	0
5	R	0	128	0
6	R	0	133	0
7	R	0	136	0
8	R	0	148	0
9	R	0	246	0
10	R	0	282	0
11	R	0	34	0
12	R	0	37	0
13	R	0	117	0
14	R	0	178	0
15	R	0	234	0
16	R	0	278	0

DAY = 3
 NUMBER_OF_VEHICLES = 22
1	R	0	-61	0
2	R	0	-79	0
3	R	0	112	0
4	R	0	139	0
5	R	0	170	0
6	R	0	-187	0
7	R	0	213	0
8	R	0	221	0
9	R	0	297	0
10	R	0	-34	0
11	R	0	81	0
12	R	0	127	0
13	R	0	185	0
14	R	0	253	0
15	R	0	290	0
16	R	0	102	0
17	R	0	159	0
18	R	0	188	0
19	R	0	-204	0
20	R	0	205	0
21	R	0	-234	0
22	R	0	277	0

DAY = 4
 NUMBER_OF_VEHICLES = 36
1	R	0	-43	0
2	R	0	-63	0
3	R	0	96	0
4	R	0	-121	0
5	R	0	-128	0
6	R	0	-148	0
7	R	0	-170	0
8	R	0	-246	0
9	R	0	-282	0
10	R	0	8	0
11	R	0	-37	0
12	R	0	39	0
13	R	0	51	0
14	R	0	68	0
15	R	0	108	0
16	R	0	123	0
17	R	0	206	0
18	R	0	228	0
19	R	0	285	0
20	R	0	-290	0
21	R	0	293	0
22	R	0	294	0
23	R	0	-7	0
24	R	0	66	0
25	R	0	155	0
26	R	0	165	0
27	R	0	-215	0
28	R	0	216	0
29	R	0	231	0
30	R	0	-238	0
31	R	0	252	0
32	R	0	-277	0
33	R	0	-278	0
34	R	0	286	0
35	R	0	291	0
36	R	0	-296	0

DAY = 5
 NUMBER_OF_VEHICLES = 36
1	R	0	23	0
2	R	0	59	0
3	R	0	73	0
4	R	0	-84	0
5	R	0	115	0
6	R	0	131	0
7	R	0	-133	0
8	R	0	-136	0
9	R	0	191	0
10	R	0	245	0
11	R	0	247	0
12	R	0	255	0
13	R	0	279	0
14	R	0	-8	0
15	R	0	-51	0
16	R	0	75	0
17	R	0	-81	0
18	R	0	-117	0
19	R	0	172	0
20	R	0	-178	0
21	R	0	223	0
22	R	0	-253	0
23	R	0	-285	0
24	R	0	70	0
25	R	0	-102	0
26	R	0	105	0
27	R	0	114	0
28	R	0	147	0
29	R	0	154	0
30	R	0	-159	0
31	R	0	-165	0
32	R	0	175	0
33	R	0	-188	0
34	R	0	-205	0
35	R	0	269	0
36	R	0	-286	0

DAY = 6
 NUMBER_OF_VEHICLES = 38
1	R	0	-59	0
2	R	0	-112	0
3	R	0	-115	0
4	R	0	116	0
5	R	0	-131	0
6	R	0	-139	0
7	R	0	-213	0
8	R	0	-221	0
9	R	0	257	0
10	R	0	266	0
11	R	0	-297	0
12	R	0	-39	0
13	R	0	-75	0
14	R	0	92	0
15	R	0	113	0
16	R	0	-123	0
17	R	0	-127	0
18	R	0	137	0
19	R	0	-185	0
20	R	0	210	0
21	R	0	-228	0
22	R	0	236	0
23	R	0	239	0
24	R	0	243	0
25	R	0	-66	0
26	R	0	72	0
27	R	0	98	0
28	R	0	-105	0
29	R	0	134	0
30	R	0	152	0
31	R	0	-155	0
32	R	0	167	0
33	R	0	-175	0
34	R	0	203	0
35	R	0	-216	0
36	R	0	219	0
37	R	0	-269	0
38	R	0	-291	0

DAY = 7
 NUMBER_OF_VEHICLES = 43
1	R	0	47	0
2	R	0	-73	0
3	R	0	89	0
4	R	0	-96	0
5	R	0	143	0
6	R	0	149	0
7	R	0	189	0
8	R	0	-191	0
9	R	0	-245	0
10	R	0	-255	0
11	R	0	270	0
12	R	0	275	0
13	R	0	3	0
14	R	0	18	0
15	R	0	-68	0
16	R	0	-92	0
17	R	0	-108	0
18	R	0	130	0
19	R	0	-137	0
20	R	0	-172	0
21	R	0	199	0
22	R	0	-206	0
23	R	0	-210	0
24	R	0	-223	0
25	R	0	-239	0
26	R	0	-293	0
27	R	0	-294	0
28	R	0	299	0
29	R	0	21	0
30	R	0	-70	0
31	R	0	-72	0
32	R	0	-98	0
33	R	0	-134	0
34	R	0	140	0
35	R	0	-147	0
36	R	0	-152	0
37	R	0	-219	0
38	R	0	225	0
39	R	0	-231	0
40	R	0	250	0
41	R	0	-252	0
42	R	0	281	0
43	R	0	295	0

DAY = 8
 NUMBER_OF_VEHICLES = 35
1	R	0	22	0
2	R	0	-23	0
3	R	0	25	0
4	R	0	49	0
5	R	0	53	0
6	R	0	87	0
7	R	0	-116	0
8	R	0	120	0
9	R	0	-143	0
10	R	0	145	0
11	R	0	-149	0
12	R	0	226	0
13	R	0	-247	0
14	R	0	-266	0
15	R	0	-279	0
16	R	0	-3	0
17	R	0	40	0
18	R	0	46	0
19	R	0	-130	0
20	R	0	-199	0
21	R	0	220	0
22	R	0	222	0
23	R	0	268	0
24	R	0	11	0
25	R	0	50	0
26	R	0	110	0
27	R	0	-114	0
